Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
SERVICOS TECNICOS H G DIESEL LTDA.;R$ 2.125,76;303;Gabriel André Bertram;;100%;
BAZAM PICHAU INFORMATICA LTDA - PICHAU JVLLE;R$ 2.114,09;304;Gibson Ribeiro;;63%;
UNOTECH IMPORTACAO E COMERCIO LTDA;R$ 2.100,00;305;Gabriel André Bertram;;100%;
FERRAMENTAS GERAIS COM.IMPORT. S.A.;R$ 2.095,31;306;Gabriel André Bertram;;100%;
PROMO ECCO INDUSTRIA E COMERCIO LTDA;R$ 2.035,00;307;Leonardo Pereira Falconeli Dos Santos;;100%;
JB INDUSTRIA DE PRODUTOS PLASTICOS LTDA;R$ 1.925,00;308;Marcia - Compras;;0%;
JULIO CESAR VIEIRA;R$ 1.869,50;309;Gabriel André Bertram;;100%;
CIRICO ALUMINIOS LTDA ME;R$ 1.790,00;310;Gabriel André Bertram;;100%;
CASAFER COMERCIAL IMP. LTDA;R$ 1.779,00;311;Gabriel André Bertram;;0%;
MARIO SERGIO FERREIRA;R$ 1.759,00;312;Leonardo Pereira Falconeli Dos Santos;;100%;
KRAMBECK COMERCIO DE AUTOPECAS LTDA;R$ 1.751,96;313;Gabriel André Bertram;;96%;
HAL AUTOMATION LTDA;R$ 1.710,00;314;Gabriel André Bertram;;0%;
MULTIMOLAS INDUSTRIA DE MOLAS LTDA;R$ 1.649,50;315;Marcia - Compras;;;
PRESTAR INDUSTRIA DE MAQUINAS LTDA.;R$ 1.603,00;316;Leonardo Pereira Falconeli Dos Santos;;100%;
SG DISTRIBUIDORA DE FERRAMENTAS EIRELI;R$ 1.600,00;317;Gabriel André Bertram;;100%;
PAPELARIA 2000;R$ 1.565,00;318;Leonardo Pereira Falconeli Dos Santos;;100%;
ONFLEX BR SERVICOS LTDA;R$ 1.555,49;319;Leonardo Pereira Falconeli Dos Santos;;100%;
DHOLLANDIA BRASIL PLATAFORMAS ELEVATORIAS LTDA;R$ 1.550,00;320;Gibson Ribeiro;;100%;
SESI SERVICO SOCIAL DA INDUSTRIA;R$ 1.532,01;321;Gabriel André Bertram;;100%;
INGRAM MICRO BRASIL LTDA;R$ 1.505,00;322;Gibson Ribeiro;;100%;
POLO-AR COMERCIO DE PECAS E REPRESENTACOES LTDA;R$ 1.495,00;323;Gabriel André Bertram;;100%;
EUGENIO RAULINO KOERICH SA COMERCIO E INDUSTRIA;R$ 1.431,00;324;Leonardo Pereira Falconeli Dos Santos;;100%;
S.O.S. ENCANADOR COMERCIO DE MATERIAIS HIDRAULICOS LTDA;R$ 1.397,89;325;Leonardo Pereira Falconeli Dos Santos;;100%;
BON BLU INDUSTRIA E COMERCIO LTDA;R$ 1.350,00;326;Marcia - Compras;;0%;
ENOVA GALVANOPLASTIA E PINTURA LTDA;R$ 1.348,94;327;Gabriel André Bertram;;100%;
COREMMA AUTO PECAS E PARAFUSOS;R$ 1.336,95;328;Gabriel André Bertram;;100%;
H SOLDAS E EQUIPAMENTOS LTDA;R$ 1.260,69;329;Leonardo Pereira Falconeli Dos Santos;;100%;
DAB E DAB COM MAT ELETRO ELETRONICO LTDA;R$ 1.219,60;330;Leonardo Pereira Falconeli Dos Santos;;100%;
HANSA-FLEX DO BRASIL LTDA.;R$ 1.201,12;331;Marcia - Compras;;100%;
BWR INDUSTRIAL LTDA;R$ 1.200,00;332;Gabriel André Bertram;;100%;
BEL - EXPORT LTDA;R$ 1.170,94;333;Gabriel André Bertram;;100%;
MAGAZINE LUIZA S/A;R$ 1.169,10;334;Leonardo Pereira Falconeli Dos Santos;;100%;
NACIONAL CABOS DE ACO LTDA;R$ 1.160,00;335;Marcia - Compras;;;
