Descrição Fornecedor;Valor total;Classificação;Comprador;Plano de ação;Performance de entrega;Situação
HARD COM DE FIXADORES E RESINAS LTD; R$ 20.574,00 ;142;Gabriel André Bertram;;100%;
DAKEN BRASIL LTDA; R$ 280.135,20 ;35;Marcia - Compras;;33%;
AG SOLDAS LTDA; R$ 13.000,00 ;177;Gabriel André Bertram;;100%;
KAPDIMA COMERCIO E MANUTENCAO E EQUIPAMENTO IND. LTDA; R$ 3.098,00 ;285;Gabriel André Bertram;;100%;
DIFERRO ACOS ESPECIAIS LTDA; R$ 156,46 ;419;Marcia - Compras;;;
METALURGICA TERENA LTDA; R$ 4.179,37 ;258;Marcia - Compras;;0%;
AUSTRALIS LUMBER; R$ 150.849,00 ;48;Jonas Linshalm;;100%;
PROLATECH IND E COM DE ACESSORIOS LTDA; R$ 448.087,00 ;27;Marcia - Compras;;41%;
PROSPECTA SOLUCOES LTDA; R$ 2.446,93 ;306;Leonardo Pereira Falconeli Dos Santos;;100%;
METALURGICA SCHILD LTDA; R$ 100.150,80 ;63;Marcia - Compras;;;
ALUSSIN IND E COM DE METAIS LTDA; R$ 465.541,56 ;26;Marcia - Compras;;50%;
ACONORTE COMERCIO DE FERRO E ACO LT; R$ 193,15 ;414;Marcia - Compras;;;
VENTRIO EQUIPAMENTOS LTDA; R$ 3.780,00 ;267;Gabriel André Bertram;;;
AEROVILLE INDUSTRIA E COMERCIO LTDA; R$ 10.100,00 ;200;Gabriel André Bertram;;100%;
PAPELARIA 2000; R$ 1.565,00 ;328;Leonardo Pereira Falconeli Dos Santos;;100%;
AUTO POSTO MANARIN LTDA; R$ 99.152,40 ;64;Leonardo Pereira Falconeli Dos Santos;;100%;
POSTO CIDADE LTDA; R$ 230,11 ;412;Leonardo Pereira Falconeli Dos Santos;;100%;
PEROLA COM DE GLP LTDA - ME; R$ 450,00 ;391;Leonardo Pereira Falconeli Dos Santos;;100%;
EXTIMBRAS COMECIO DE EXTINTORES; R$ 5.621,00 ;240;Leonardo Pereira Falconeli Dos Santos;;70%;
CORSUL COMERCIO E REPRESENTACOES DO SUL LTDA; R$ 4.440,18 ;253;Gabriel André Bertram;;100%;
BISCOITOS DA DANI LTDA; R$ 156,00 ;420;Leonardo Pereira Falconeli Dos Santos;;100%;
DISTRIBUIDORA EBENEZER EIRELI; R$ 3.791,70 ;266;Gabriel André Bertram;;100%;
PB ARTIGOS PARA FESTAS LTDA; R$ 22,96 ;434;Leonardo Pereira Falconeli Dos Santos;;100%;
MAZER DISTRIBUIDORA LTDA; R$ 29.016,71 ;120;Leonardo Pereira Falconeli Dos Santos;;86%;
PAUTA DISTRIBUICAO E LOGISTICA SA; R$ 19.993,36 ;146;Leonardo Pereira Falconeli Dos Santos;;100%;
EBERT COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA; R$ 179,00 ;416;Leonardo Pereira Falconeli Dos Santos;;100%;
AS PAPEIS E PLASTICOS COM. EIRELI ME; R$ 2.529,90 ;299;Gabriel André Bertram;;100%;
SULFIBRA INDUSTRIA E COMERCIO LTDA; R$ 1.110,52 ;352;Marcia - Compras;;100%;
BAW BRASIL IND E COM LTDA; R$ 109.180,35 ;59;Leonardo Pereira Falconeli Dos Santos;;97%;
MTM AUTO CENTER COM. BATERIAS LTDA; R$ 2.955,00 ;287;Leonardo Pereira Falconeli Dos Santos;;100%;
FRAGON PRESTADORA DE SERVICOS E COMERCIO DE MATERIAIS DE CON; R$ 443.841,05 ;28;Gabriel André Bertram;;100%;
CONSTRUCON MATERIAIS DE CONSTRUCAO LTDA; R$ 392,50 ;396;Leonardo Pereira Falconeli Dos Santos;;100%;
DIOGO CESAR KNIESS ME; R$ 3.439,90 ;278;Leonardo Pereira Falconeli Dos Santos;;100%;
CONSTRUCOLOR COMERCIO DE TINTAS LTDA; R$ 164,75 ;418;Leonardo Pereira Falconeli Dos Santos;;100%;
ARGAPRON INDUSTRIA E COMERCIO LTDA; R$ 11.446,83 ;187;Leonardo Pereira Falconeli Dos Santos;;100%;
PRENSA IND.E COM.DE PECAS LTDA.; R$ 3.621,00 ;273;Marcia - Compras;;0%;
TORNADO COML DE MAQUINAS E EQUIP DE PINTURA IMP EXP LTDA; R$ 10.135,38 ;199;Gabriel André Bertram;;100%;
MARIO SERGIO FERREIRA; R$ 1.759,00 ;322;Leonardo Pereira Falconeli Dos Santos;;100%;
R S PNEUS E EQUIPAMENTOS LTDA; R$ 1.385.518,02 ;8;Gabriel André Bertram;;84%;
BREVIL - BREMER & MARCOVIL METAL LTDA; R$ 7.861,49 ;216;Gabriel André Bertram;;100%;
MOGI PLASTICOS LTDA; R$ 7.876,00 ;215;Gabriel André Bertram;;100%;
LENZI COMERCIO MANGUEIRAS E CONEXOES HIDRAULICAS LTDA; R$ 962,47 ;366;Gabriel André Bertram;;100%;
JULIO CESAR VIEIRA; R$ 1.869,50 ;320;Gabriel André Bertram;;100%;
POLINI COMERCIO DE PECAS LTDA; R$ 1.054,00 ;357;Gabriel André Bertram;;100%;
RODOPLAST IND COM D COMPONENT PLAST LTDA; R$ 32.544,36 ;115;Marcia - Compras;;83%;
ACQUA GELATA IND. E COM. DE APAR. DE REFRIG. LTDA; R$ 2.500,00 ;301;Gabriel André Bertram;;0%;
ACOS FAVORIT DISTRIBUIDORA LTDA MATRIZ; R$ 49,47 ;432;Marcia - Compras;;;
ZANINI & RODRIGUES LTDA; R$ 11.042,00 ;190;Gabriel André Bertram;;100%;
MEGACOMP ATACADO E VAREJO DE COMPONENTES LTDA; R$ 339,20 ;400;Gibson Ribeiro;;100%;
SUL BRINDES ESPECIAIS LTDA; R$ 21.224,00 ;141;Leonardo Pereira Falconeli Dos Santos;;100%;
SERVICOS TECNICOS H G DIESEL LTDA.; R$ 2.125,76 ;314;Gabriel André Bertram;;100%;
H SOLDAS MAQUINAS LTDA; R$ 37.217,36 ;107;Leonardo Pereira Falconeli Dos Santos;;100%;
A.X.T. ESTRUTURAS METALICAS LTDA; R$ 28.350,00 ;122;Gabriel André Bertram;;100%;
EJOT-FEY SISTEMAS DE FIXACAO LTDA.; R$ 26.892,00 ;126;Gabriel André Bertram;;100%;
SESI SERVICO SOCIAL DA INDUSTRIA; R$ 1.532,01 ;331;Gabriel André Bertram;;100%;
DEO IND. E COM. DE ARTEFATOS PLASTICOS; R$ 5.545,60 ;242;Gabriel André Bertram;;100%;
MB COM. DE PECAS AUTOMOTIVAS LTDA; R$ 14.235,00 ;170;Marcia - Compras;;100%;
FERRAGENS HLS LTDA.; R$ 85.449,79 ;69;Gabriel André Bertram;;100%;
DHOLLANDIA BRASIL PLATAFORMAS ELEVATORIAS LTDA; R$ 1.550,00 ;330;Gibson Ribeiro;;100%;
MADEIRAS EULIDE LTDA; R$ 696.998,19 ;19;Jonas Linshalm;;71%;
AUTO POSTO NASATO LTDA.; R$ 25.165,00 ;129;Leonardo Pereira Falconeli Dos Santos;;100%;
SERRALHERIA FERRO-POINT LTDA; R$ 38.900,00 ;103;Gabriel André Bertram;;100%;
J.L.W.INDUSTRIA DE APARELHOS ELETRO ELETRONICOS LTDA; R$ 7.731,53 ;217;Gabriel André Bertram;;100%;
VANIO DIESEL LTDA; R$ 5.283,96 ;246;Leonardo Pereira Falconeli Dos Santos;;100%;
SCAP-CAR FERNANDES COM.PECAS LTDA.; R$ 40,00 ;433;Leonardo Pereira Falconeli Dos Santos;;100%;
AUTENTICAR OFICINA MECANICA E AUTO ELETRICA LTDA; R$ 154,00 ;421;Leonardo Pereira Falconeli Dos Santos;;100%;
MONDINI EXTRACAO DE AREIA LTDA; R$ 19.806,32 ;148;Gabriel André Bertram;;100%;
S.O.S. ENCANADOR COMERCIO DE MATERIAIS HIDRAULICOS LTDA; R$ 1.397,89 ;336;Leonardo Pereira Falconeli Dos Santos;;100%;
ACOPAR COMERCIO DE PARAFUSOS LTDA.; R$ 2.527,00 ;300;Gabriel André Bertram;;100%;
ONFLEX BR SERVICOS LTDA; R$ 1.555,49 ;329;Leonardo Pereira Falconeli Dos Santos;;100%;
FIEDLER AUTOMACAO INDUSTRIAL LTDA.; R$ 4.628,40 ;251;Gabriel André Bertram;;0%;
INDUSTRIA E COMERCIO DE PRODUTOS ALIMENTICIOS NUTRAER LTDA-M; R$ 6.360,00 ;234;Gabriel André Bertram;;50%;
REFRIGERACAO LENZI LTDA ME; R$ 499,35 ;389;Gabriel André Bertram;;100%;
CASAS DA AGUA MATERIAIS PARA CONSTRUCAO LTDA; R$ 9.130,00 ;207;Gabriel André Bertram;;100%;
IMATRON IND. MET. ELETRONICA LTDA.; R$ 357,75 ;398;Marcia - Compras;;100%;
METALMOTIVA COMERCIAL E DISTRIBUIDORA LTDA; R$ 20.500,00 ;143;Marcia - Compras;;0%;
FF INDUSTRIAL LTDA; R$ 1.121,70 ;350;Gabriel André Bertram;;100%;
SAF-HOLLAND DO BRASIL IND PROD EIXOS E EQUIP; R$ 4.475.266,25 ;1;Gibson Ribeiro;;79%;
B.LOTTI MOVIMENTACAO DE CARGAS LTDA; R$ 404,92 ;394;Leonardo Pereira Falconeli Dos Santos;;100%;
COMPREBLU COM E MANUTENCAO DE COMPRESSORES LTDA-ME; R$ 10.743,10 ;193;Gabriel André Bertram;;100%;
CBS COMERCIO E REPRESENTACOES LTDA.; R$ 4.035,60 ;262;Gabriel André Bertram;;100%;
CBS DISTRIBUIDORA LTDA; R$ 10.648,08 ;195;Gabriel André Bertram;;100%;
